Instance,Run,Pop Size,Mutation Rate,Crossover Rate,Crossover Op,Use Repair,Fitness,Time (s)
instance_5_moderate.json,4,50,0.05,0.8,uniform,False,340,1.34
instance_5_moderate.json,5,50,0.05,0.8,uniform,False,355,1.36
instance_5_moderate.json,6,50,0.05,0.8,uniform,False,360,1.34
instance_5_moderate.json,7,50,0.05,0.8,uniform,False,355,1.35
instance_5_moderate.json,8,50,0.05,0.8,uniform,False,370,1.34
instance_5_moderate.json,9,50,0.05,0.8,uniform,False,355,1.33
instance_5_moderate.json,10,50,0.05,0.8,uniform,False,340,1.34
instance_6_moderate.json,1,50,0.05,0.8,uniform,False,305,1.18
instance_6_moderate.json,2,50,0.05,0.8,uniform,False,305,1.2
instance_6_moderate.json,3,50,0.05,0.8,uniform,False,320,1.16
instance_6_moderate.json,4,50,0.05,0.8,uniform,False,305,1.15
instance_6_moderate.json,5,50,0.05,0.8,uniform,False,300,1.15
instance_6_moderate.json,6,50,0.05,0.8,uniform,False,300,1.16
instance_6_moderate.json,7,50,0.05,0.8,uniform,False,300,1.16
instance_6_moderate.json,8,50,0.05,0.8,uniform,False,300,1.15
instance_6_moderate.json,9,50,0.05,0.8,uniform,False,320,1.15
instance_6_moderate.json,10,50,0.05,0.8,uniform,False,310,1.19
instance_7_moderate.json,1,50,0.05,0.8,uniform,False,340,1.54
instance_7_moderate.json,2,50,0.05,0.8,uniform,False,345,1.65
instance_7_moderate.json,3,50,0.05,0.8,uniform,False,330,1.83
instance_7_moderate.json,4,50,0.05,0.8,uniform,False,370,2.06
instance_7_moderate.json,5,50,0.05,0.8,uniform,False,355,1.87
instance_7_moderate.json,6,50,0.05,0.8,uniform,False,345,1.68
instance_7_moderate.json,7,50,0.05,0.8,uniform,False,340,1.56
instance_7_moderate.json,8,50,0.05,0.8,uniform,False,350,1.33
instance_7_moderate.json,9,50,0.05,0.8,uniform,False,340,1.36
instance_7_moderate.json,10,50,0.05,0.8,uniform,False,335,1.92
instance_8_moderate.json,1,50,0.05,0.8,uniform,False,310,2.0
instance_8_moderate.json,2,50,0.05,0.8,uniform,False,350,2.23
instance_8_moderate.json,3,50,0.05,0.8,uniform,False,340,1.51
instance_8_moderate.json,4,50,0.05,0.8,uniform,False,335,1.39
instance_8_moderate.json,5,50,0.05,0.8,uniform,False,355,1.39
instance_8_moderate.json,6,50,0.05,0.8,uniform,False,345,1.36
instance_8_moderate.json,7,50,0.05,0.8,uniform,False,340,1.34
instance_8_moderate.json,8,50,0.05,0.8,uniform,False,325,1.34
instance_8_moderate.json,9,50,0.05,0.8,uniform,False,360,1.35
instance_8_moderate.json,10,50,0.05,0.8,uniform,False,290,1.37
instance_9_hard.json,1,50,0.05,0.8,uniform,False,305,0.82
instance_9_hard.json,2,50,0.05,0.8,uniform,False,295,1.08
instance_9_hard.json,3,50,0.05,0.8,uniform,False,295,0.84
instance_9_hard.json,4,50,0.05,0.8,uniform,False,300,0.88
instance_9_hard.json,5,50,0.05,0.8,uniform,False,300,0.92
instance_9_hard.json,6,50,0.05,0.8,uniform,False,295,0.83
instance_9_hard.json,7,50,0.05,0.8,uniform,False,290,0.82
instance_9_hard.json,8,50,0.05,0.8,uniform,False,295,0.84
instance_9_hard.json,9,50,0.05,0.8,uniform,False,285,0.86
instance_9_hard.json,10,50,0.05,0.8,uniform,False,285,0.88
instance_10_hard.json,1,50,0.05,0.8,uniform,True,295,2.34
instance_10_hard.json,2,50,0.05,0.8,uniform,True,285,2.29
instance_10_hard.json,3,50,0.05,0.8,uniform,True,185,2.27
instance_10_hard.json,4,50,0.05,0.8,uniform,True,275,2.31
instance_10_hard.json,5,50,0.05,0.8,uniform,True,265,2.31
instance_10_hard.json,6,50,0.05,0.8,uniform,True,275,2.33
instance_10_hard.json,7,50,0.05,0.8,uniform,True,350,2.32
instance_10_hard.json,8,50,0.05,0.8,uniform,True,312,2.33
instance_10_hard.json,9,50,0.05,0.8,uniform,True,230,2.38
instance_10_hard.json,10,50,0.05,0.8,uniform,True,285,2.34
instance_1_easy.json,1,50,0.05,0.8,uniform,True,315,1.05
instance_1_easy.json,2,50,0.05,0.8,uniform,True,310,1.01
instance_1_easy.json,3,50,0.05,0.8,uniform,True,305,0.96
instance_1_easy.json,4,50,0.05,0.8,uniform,True,305,0.98
instance_1_easy.json,5,50,0.05,0.8,uniform,True,310,0.98
instance_1_easy.json,6,50,0.05,0.8,uniform,True,305,0.97
instance_1_easy.json,7,50,0.05,0.8,uniform,True,305,0.97
instance_1_easy.json,8,50,0.05,0.8,uniform,True,315,0.98
instance_1_easy.json,9,50,0.05,0.8,uniform,True,310,1.07
instance_1_easy.json,10,50,0.05,0.8,uniform,True,305,0.98
instance_2_easy.json,1,50,0.05,0.8,uniform,True,295,1.31
instance_2_easy.json,2,50,0.05,0.8,uniform,True,310,1.31
instance_2_easy.json,3,50,0.05,0.8,uniform,True,320,1.09
instance_2_easy.json,4,50,0.05,0.8,uniform,True,315,1.1
instance_2_easy.json,5,50,0.05,0.8,uniform,True,315,1.13
instance_2_easy.json,6,50,0.05,0.8,uniform,True,310,1.09
instance_2_easy.json,7,50,0.05,0.8,uniform,True,300,1.12
instance_2_easy.json,8,50,0.05,0.8,uniform,True,315,1.11
instance_2_easy.json,9,50,0.05,0.8,uniform,True,305,1.11
instance_2_easy.json,10,50,0.05,0.8,uniform,True,310,1.1
instance_3_easy.json,1,50,0.05,0.8,uniform,True,305,0.87
instance_3_easy.json,2,50,0.05,0.8,uniform,True,295,0.85
instance_3_easy.json,3,50,0.05,0.8,uniform,True,290,0.86
instance_3_easy.json,4,50,0.05,0.8,uniform,True,300,0.84
instance_3_easy.json,5,50,0.05,0.8,uniform,True,290,0.84
instance_3_easy.json,6,50,0.05,0.8,uniform,True,300,0.85
instance_3_easy.json,7,50,0.05,0.8,uniform,True,295,0.84
instance_3_easy.json,8,50,0.05,0.8,uniform,True,290,0.86
instance_3_easy.json,9,50,0.05,0.8,uniform,True,300,0.86
instance_3_easy.json,10,50,0.05,0.8,uniform,True,300,0.85
instance_4_easy.json,1,50,0.05,0.8,uniform,True,300,1.0
instance_4_easy.json,2,50,0.05,0.8,uniform,True,290,0.96
instance_4_easy.json,3,50,0.05,0.8,uniform,True,305,0.96
instance_4_easy.json,4,50,0.05,0.8,uniform,True,295,0.95
instance_4_easy.json,5,50,0.05,0.8,uniform,True,295,0.97
instance_4_easy.json,6,50,0.05,0.8,uniform,True,290,0.96
instance_4_easy.json,7,50,0.05,0.8,uniform,True,310,0.96
instance_4_easy.json,8,50,0.05,0.8,uniform,True,305,0.97
instance_4_easy.json,9,50,0.05,0.8,uniform,True,300,0.96
instance_4_easy.json,10,50,0.05,0.8,uniform,True,305,0.95
instance_5_moderate.json,1,50,0.05,0.8,uniform,True,345,1.37
instance_5_moderate.json,2,50,0.05,0.8,uniform,True,355,1.34
instance_5_moderate.json,3,50,0.05,0.8,uniform,True,355,1.35
instance_5_moderate.json,4,50,0.05,0.8,uniform,True,345,1.35
instance_5_moderate.json,5,50,0.05,0.8,uniform,True,350,1.35
instance_5_moderate.json,6,50,0.05,0.8,uniform,True,365,1.35
instance_5_moderate.json,7,50,0.05,0.8,uniform,True,365,1.33
instance_5_moderate.json,8,50,0.05,0.8,uniform,True,340,1.35
instance_5_moderate.json,9,50,0.05,0.8,uniform,True,355,1.58
instance_5_moderate.json,10,50,0.05,0.8,uniform,True,350,1.41
instance_6_moderate.json,1,50,0.05,0.8,uniform,True,285,1.16
instance_6_moderate.json,2,50,0.05,0.8,uniform,True,320,1.18
instance_6_moderate.json,3,50,0.05,0.8,uniform,True,310,1.17
instance_6_moderate.json,4,50,0.05,0.8,uniform,True,310,1.16
instance_6_moderate.json,5,50,0.05,0.8,uniform,True,295,1.18
instance_6_moderate.json,6,50,0.05,0.8,uniform,True,315,1.19
instance_6_moderate.json,7,50,0.05,0.8,uniform,True,320,1.17
instance_6_moderate.json,8,50,0.05,0.8,uniform,True,305,1.17
instance_6_moderate.json,9,50,0.05,0.8,uniform,True,295,1.17
instance_6_moderate.json,10,50,0.05,0.8,uniform,True,300,1.15
instance_7_moderate.json,1,50,0.05,0.8,uniform,True,355,1.28
instance_7_moderate.json,2,50,0.05,0.8,uniform,True,345,1.28
instance_7_moderate.json,3,50,0.05,0.8,uniform,True,350,1.29
instance_7_moderate.json,4,50,0.05,0.8,uniform,True,320,1.28
instance_7_moderate.json,5,50,0.05,0.8,uniform,True,365,1.29
instance_7_moderate.json,6,50,0.05,0.8,uniform,True,345,1.33
instance_7_moderate.json,7,50,0.05,0.8,uniform,True,370,1.29
instance_7_moderate.json,8,50,0.05,0.8,uniform,True,330,1.33
instance_7_moderate.json,9,50,0.05,0.8,uniform,True,315,1.37
instance_7_moderate.json,10,50,0.05,0.8,uniform,True,340,1.27
instance_8_moderate.json,1,50,0.05,0.8,uniform,True,330,1.35
instance_8_moderate.json,2,50,0.05,0.8,uniform,True,325,1.36
instance_8_moderate.json,3,50,0.05,0.8,uniform,True,325,1.36
instance_8_moderate.json,4,50,0.05,0.8,uniform,True,350,1.36
instance_8_moderate.json,5,50,0.05,0.8,uniform,True,325,1.33
instance_8_moderate.json,6,50,0.05,0.8,uniform,True,345,1.33
instance_8_moderate.json,7,50,0.05,0.8,uniform,True,340,1.35
instance_8_moderate.json,8,50,0.05,0.8,uniform,True,345,1.33
instance_8_moderate.json,9,50,0.05,0.8,uniform,True,325,1.34
instance_8_moderate.json,10,50,0.05,0.8,uniform,True,340,1.35
instance_9_hard.json,1,50,0.05,0.8,uniform,True,300,0.84
instance_9_hard.json,2,50,0.05,0.8,uniform,True,300,0.81
instance_9_hard.json,3,50,0.05,0.8,uniform,True,280,0.83
instance_9_hard.json,4,50,0.05,0.8,uniform,True,305,0.84
instance_9_hard.json,5,50,0.05,0.8,uniform,True,290,0.81
instance_9_hard.json,6,50,0.05,0.8,uniform,True,300,0.83
instance_9_hard.json,7,50,0.05,0.8,uniform,True,295,0.84
instance_9_hard.json,8,50,0.05,0.8,uniform,True,300,0.82
instance_9_hard.json,9,50,0.05,0.8,uniform,True,300,0.82
instance_9_hard.json,10,50,0.05,0.8,uniform,True,295,0.84
